automaker,series,year,kilometers_traveled,condition,type,volume,origin,warranty_policy,weight,location,partner,price
Honda,Lead,2018,8000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,26000000.0
Kawasaki,Z900,2018,14000.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,287000000.0
Hãng khác,Dòng khác,2013,300000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,25000000.0
Yamaha,Exciter,2010,30000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,37000000.0
Honda,Wave,2015,13000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,78797900.0
Honda,SH,2011,38000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,79000000.0
Benelli,T15,2021,13479.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,19000000.0
Yamaha,Exciter,2010,1000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,
Honda,SCR,2007,111111.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,4000000.0
Yamaha,Exciter,2023,2600.0,Đã sử dụng,Tay côn/Moto,,Nước khác,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,38500000.0
RebelUSA,Rebell,2011,50000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,10500000.0
Honda,SH,2010,27.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,105000000.0
Yamaha,Freego,2019,24000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,22500000.0
Honda,Wave,2021,7000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,14500000.0
SYM,Shark,2011,19500.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,10500000.0
Yamaha,Nouvo,2010,50.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,3300.0
Honda,Dream,1996,33333.0,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Hà Nội,1,9000000.0
Honda,SH,2021,12400.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,48500000.0
Honda,Vision,2019,12.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,20000000.0
Honda,Lead,2013,12000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,19800000.0
Yamaha,Exciter,2018,22222.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,17500000.0
Honda,Dream,2000,13500.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,15800000.0
Honda,Air Blade,2020,4200.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,50000000.0
Honda,Air Blade,2010,56442.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Đắk Lắk,0,17000000.0
Honda,Wave,2022,2000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,18500000.0
SYM,Shark,2010,25000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,9000000.0
Honda,Air Blade,2009,35000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,22000000.0
Honda,Air Blade,2023,2200.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,39999999.0
RebelUSA,Rebell,2015,86000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Cần Thơ,0,12500000.0
Honda,Cub,2023,,Mới,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,129000000.0
Yamaha,Nouvo,2016,8000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,7800000.0
Honda,Vario,2020,12000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,43800000.0
Suzuki,Smash,2010,30000.0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,3000000.0
Honda,SH,2019,7000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,1,80500000.0
Honda,Air Blade,2016,26000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,24900000.0
Honda,SH,2014,10.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,58000000.0
Yamaha,Grande,2014,47000.0,Đã sử dụng,Tay ga,,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,15800000.0
Honda,Wave,2016,20000.0,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,14500000.0
Honda,MSX 125,2021,9000.0,Đã sử dụng,Tay côn/Moto,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,36800000.0
Piaggio,Liberty,2016,20686.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,21800000.0
Yamaha,Dòng khác,2022,7900.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,37900000.0
Honda,Vision,2022,6000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,33900000.0
Yamaha,Nouvo,2018,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,5300000.0
Yamaha,Exciter,2018,20000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,1,20800000.0
Honda,Vision,2016,15000.0,Đã sử dụng,Tay ga,50 - 100 cc,Thái Lan,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,16500000.0
Honda,Vario,2019,15000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,34800000.0
Yamaha,Exciter,2014,50000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,16800000.0
Honda,SH,2022,4000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,72900000.0
Honda,PCX,2010,60000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Lâm Đồng,0,25000000.0
Piaggio,Vespa,2017,8000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,19500000.0
Honda,Vision,2023,3700.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,32500000.0
Honda,Dream,2000,2100.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,7800000.0
Honda,Air Blade,2019,15000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,21800000.0
Kymco,K-Pipe,2020,7000.0,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,16000000.0
Yamaha,Exciter,2013,12345.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,16500000.0
Piaggio,Zip,2017,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,5000000.0
Honda,Future,2019,36000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tiền Giang,0,14500000.0
Hãng khác,Dòng khác,2015,25000.0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,4600000.0
Honda,Air Blade,2011,54461.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,9400000.0
SYM,Attila,2010,3568.0,Đã sử dụng,Tay ga,100 - 175 cc,Trung Quốc,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,2800000.0
Sachs,Amici,2011,454455.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,2200000.0
Yamaha,Janus,2017,123.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,0,18500000.0
Suzuki,Raider,2020,18000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,21999000.0
Honda,Spacy,2008,25689.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,3800000.0
Honda,Air Blade,2022,3000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,40000000.0
Honda,Click,2010,12000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,9700000.0
Honda,Wave,2011,20000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,7200000.0
Honda,Wave,2019,22000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,11500000.0
Honda,Winner,2018,26000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,9500000.0
Honda,Dream,2001,599999.0,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,3800000.0
Hãng khác,Dòng khác,1980,900000.0,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,Bảo hành hãng,> 50 kg,Vĩnh Long,0,4300000.0
Yamaha,Nvx,2017,12000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Bình Dương,0,18500000.0
Hãng khác,Dòng khác,2023,,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,10000000.0
Yamaha,Janus,2021,8000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,1,22500000.0
Honda,Wave,2009,1122.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,7900000.0
Honda,Wave,2002,23453.0,Đã sử dụng,Xe số,100 - 175 cc,Hàn Quốc,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,1560000.0
Honda,Dream,1994,40.0,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,27900000.0
Honda,Wave,2001,5.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,3300000.0
Honda,Lead,2010,12345.0,Đã sử dụng,Tay ga,,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,7500000.0
Piaggio,Vespa,2016,15000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,47500000.0
Honda,SH,2018,11000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,69500000.0
Honda,Lead,2011,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,9800000.0
Honda,Wave,2019,30.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,11900000.0
Yamaha,Luvias,2016,5.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,14000000.0
Yamaha,Grande,2017,21532.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,15500000.0
Honda,Wave,2015,200000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,0,8500000.0
Piaggio,Vespa,2010,23000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,8800000.0
Yamaha,Sirius,2019,25000.0,Đã sử dụng,Xe số,,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,10500000.0
Piaggio,Vespa,2021,13500.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,0,50500000.0
Yamaha,Exciter,2015,12000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,19800000.0
Kawasaki,Z900,2019,25000.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,308000000.0
Honda,Air Blade,2011,40000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Thừa Thiên Huế,1,12500000.0
SYM,Shark,2011,20000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,111111111.0
Honda,SH,2010,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,139000000.0
Suzuki,Hayate,2011,50000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,5300000.0
Honda,SH,2010,33000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,112000000.0
Hãng khác,Dòng khác,2023,123.0,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Đồng Nai,0,1900000.0
Yamaha,Exciter,2016,12000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,17500000.0
Honda,Dream,2014,21500.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,10800000.0
RebelUSA,Notus,2013,15000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đài Loan,Bảo hành hãng,> 50 kg,Hà Nội,1,13500000.0
Honda,Sonic,2019,1000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tiền Giang,0,32000000.0
Piaggio,Primavera,2016,12001.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,29500000.0
Honda,Click,2017,35000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,44000000.0
Yamaha,Nouvo,2009,67890.0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,5700000.0
Hãng khác,Dòng khác,1983,456789.0,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,3500000.0
Honda,Wave,2022,22222.0,Đã sử dụng,Xe số,Trên 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,15000000.0
Yamaha,MT,2022,7000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Đồng Nai,0,52000000.0
Honda,Vision,2020,4000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,25500000.0
Honda,SH,2020,20000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,70000000.0
Yamaha,Jupiter,2007,6868.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,3900000.0
Honda,Vision,2016,,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,20800000.0
Honda,Air Blade,2022,2000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,26800000.0
Suzuki,Hayate,2011,12345.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,5900000.0
Honda,Lead,2015,10000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,21000000.0
Honda,Wave,2013,30000.0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,6900000.0
Honda,Air Blade,2012,18000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,12200000.0
Honda,Wave,2014,35000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,11000000.0
Honda,SH,2012,10.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,93000000.0
Honda,SH,2022,6000.0,Đã sử dụng,Tay ga,Trên 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,109000000.0
Honda,SH,2016,11000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,0,45000000.0
Piaggio,Vespa,2013,25000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,15900000.0
Honda,PCX,2016,20006.0,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,27500000.0
Honda,Future,2017,5000.0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,25000000.0
Yamaha,Sirius,2018,20000.0,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,7800000.0
Piaggio,Vespa,2017,24153.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,8200000.0
Honda,SH,2010,25000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,148000000.0
Honda,SH Mode,2018,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Hà Nội,1,39800000.0
Honda,Wave,2017,25000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,10500000.0
Honda,Dream,2009,15000.0,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,10800000.0
Yamaha,Exciter,2022,5300.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,32000000.0
Honda,Air Blade,2018,8000.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,10000000.0
Honda,SH,2022,20000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,3899000.0
Honda,Future,2022,3000.0,Đã sử dụng,Xe số,,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,15000000.0
Honda,Air Blade,2016,15000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,1,26000000.0
Yamaha,Mio,2022,4000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,1,21500000.0
Yamaha,Exciter,2018,10000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Hà Nội,0,16000000.0
Honda,Dòng khác,2010,35000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,12900000.0
Honda,Air Blade,2014,69515.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,14700000.0
Honda,Lead,2009,3653.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,Tp Hồ Chí Minh,0,7800000.0
Honda,Future,2015,333.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Hà Nội,0,15500000.0
Yamaha,Nvx,2017,123.0,Đã sử dụng,Tay ga,,Đang cập nhật,Bảo hành hãng,> 50 kg,Đà Nẵng,0,22500000.0
